id,timestamp,description,severity
126058,1138795338,Stack overflow with namespace aliases,critical
126025,1138787512,CApplicationLaunchShortcut call to ebugUITools.saveAndBuild is redundant,trivial
128667,1140429233,"unpredictable switcheing between ""all"" and ""clean all""",major
128667,1140666379,"unpredictable switching between ""all"" and ""clean all""",critical
148005,1150859015,Eclipse blocks at startup due to saved open CDT editor,blocker
148005,1174898505,[Preferences] Eclipse blocks at startup due to saved open CDT editor,major
148961,1151465141,eclipse crash editing C source file,blocker
149388,1151786673,"Importing existing code tutorials very prominent, but useless!",major
131273,1141955215,broken link to sample code for tutorial,blocker
162381,1161839319,[Indexer][Scanner] Strange null characters during C source parsing,critical
169777,1168135625,class name is always reported as empty in new class wizard,blocker
166991,1165412008,Apply indexer to all projects now button should not be a checkbox,trivial
180305,1175267948,Indexer regression from 3.1.2 to 4.0.0.M5,blocker
182173,1177362756,Per file scanner discovery isn't reflected in ICLanguageSetting,critical
185408,1178194291,PDOMCPPClassType.find(String) is broken.,major
186422,1178798399,"Building project created from ANSI C Hello World template results in ""nothing to build""",major
183825,1181131767,[Binary Parser] different binaries of the same name are not treatted propely,major
201973,1188578872,Project conversion failed box when opening cdt3 project with cdt4,trivial
129507,1191967478,Build variables of type Path List not handled by indexer if used to specify include dirs,major
206862,1192761191,File makefile does not match its benchmark. when using JDK1.6.0_02,major
215283,1200334905,CDT Project Template Engine macro replacment code cannot handle consecutive replacements.,major
210349,1195523301,Running a pluglet rebuilds the C++ projects in workspace,major
210349,1200877408,CDT Common builder does not handle IncrementalProjectBuilder.INCREMENTAL_BUILD as required,critical
218272,1202413119,ASCII Hebrew characters display incorrectly,major
220158,1203912015,Macro Expansion - Open Declaration exception,minor
220731,1204179156,CDT 4.0.3 does not generate gcc -I switch for files in a subfolder,blocker
227288,1208315970,BIDI3.4:Cannot Debug Arabic named Project,major
228315,1208899066,Drag-and-drop file on Include Browser not working,major
234591,1212041613,[Index] Clearing file can corrupt index database,major
234952,1212164331,"TVT34:TCT672: PLK: truncation in ""Explore Macro Expansion"" view",minor
234951,1212164296,TVT34:TCT668: PLK: New configuration name created by concatenation,minor
235666,1212582398,TVT34: Moving through project properties makes file browser dialogs appear,critical
239464,1215077459,Rebuild of index on project import,minor
246524,1220835418,Parser Problem if symbolic links in include path,major
250742,1223956127,Editor has silly automatic whitespace cleanup,critical
257140,1228148120,Unable to import existing C++ project,critical
257700,1229326516,Wrong formatting of C++ class when using value of function pointer,major
275238,1241631534,[debugger] Pretty print stl gdb and eclipse cdt don't play well,critical
281363,1245836186,Need to export the Traditional Rendering package,critical
290863,1254273959,CDT release 6.0.1 shows version number 6.0.0,trivial
291393,1275045238,[concurrency] Memory leak in RequestMonitor,major
292908,1256116877,ASTCache holds on to larger number of macros through fBuiltinMacros,major
