id,timestamp,description,severity
122564,1136342594,[nls tooling] Externalize Strings forgets substitution pattern,minor
122608,1136350800,Saved edits to java files not recognised by debugger,critical
122668,1136425733,[correction] incorrect indentation lebel when using quick fix to create constructor,minor
123229,1136872239,"[navigation] ""Show In > Outline"" does not work (always beeps)",minor
123396,1136949292,Regression: NameLookup creation longs around 1mn on project with heavy hiearchy (200 src folders * 200 packages),critical
123403,1136960572,can type program line by line!,minor
123604,1137059799,[hovering] link with ending space in @link tag not shown,minor
123851,1137464793,[preferences] Enter key on template selection dialog dismisses  the dialog,minor
124179,1137553587,[implementation] java.lang.Exception: New line delimiter added to new code: 13,trivial
124832,1138010858,[typing] Right to left typing after exception in FastPartitioner,major
124657,1137749718,allow TypeSelectionDialog2 to optionally not resolve the type during computeResult(),critical
124990,1138082431,[rulers] Line selection using line number ruler does not work anymore in Java Editor,major
125013,1138096234,deadlock in PreferenceForwarder.firePropertyChangeEvent,major
125013,1138097176,[misc] deadlock in PreferenceForwarder.firePropertyChangeEvent,critical
125028,1138101672,[typing] String break should follow code formatter guidelines,minor
124702,1137763764,redraw problem with JavaEditor.resetProject(),minor
125673,1138587534,Variables view doesn't show details,major
126353,1138959619,There is no public APIs for Move Refactoring,critical
126662,1139281257,[content assist] Several exceptions attempting to do template completion with selection,major
127006,1139425019,String splitting in Java editor does not respect formatter preference,major
127100,1139481945,ShowSystemThreadsAction is not using getAdapter to retrieve the associated IJavaThread object,critical
127043,1139457154,"Java compilation incredibly slow, 100% CPU",major
127213,1139520355,Flags class missing methods,minor
127142,1139493153,Annotations in a static inner class implementing a static inner interface cause a 'collide with package' error,major
127474,1139823520,Javadoc wizard API ...,blocker
127480,1139824115,Need to extend JavadocOptionsManager,blocker
127475,1139823805,Request that IMG_OBJS_JAVADOCTAG be added to ISharedImages,blocker
127704,1139906879,[clean up] 'Remove unnecessary casts' should work for nested casts,minor
125486,1138354462,[refactoring] Delete subpackages of default package should not be available,minor
128258,1140088567,Comparing two java elements from external file shows _E_X_T_E_R_N_A_L_P_R_O_J_E_C_T_,minor
128539,1140318452,AST - VariableDeclarationStatement splits up,blocker
128818,1140514808,[clean up] Use blocks produces uncompilable code,major
130126,1141352189,[typing] Error while creating javadoc for a java language element within a class with specific content,minor
132544,1142842005,greatbug : Code cleanup gets enhanced for loops wrong,blocker
132657,1142917776,[navigation] category tag in quick outline disapears after Ctrl+O Ctrl+O,minor
132846,1143019819,[compiler] NPE compiling JDK 1.5 sources,major
125114,1138131704,Editor scrolls on its own accord during code completion,major
133345,1143441161,[hover] Missing @deprecated in Javadoc hover if member is marked with annotation,minor
132331,1142581902,Breakpoint stop is not highlight when hit,critical
133487,1143515181,Find Broken NLS Keys action reports false positives,major
125630,1143788533,"[content assist] Parameter hints at wrong position if ',' is typed",minor
135884,1144656838,Ctrl+Space does not toggle content assist groups when popup has focus,minor
135227,1144292675,"Missing Java Code, Missing Lines, Missing Methods",blocker
136599,1144905496,Unable to debug due to SWTException in AsynchronousTreeViewer.attemptExpansion,critical
137191,1145340957,installed JREs settings disappears after specifying 'default vm arguments',critical
137489,1145432488,Code completion does not work at all,major
137523,1145440967,Need to press F6 twice to take effect,major
137744,1145523311,java.lang.ClassFormatError: test/B (Repetitive method name/signature),major
138126,1145729771,Exception creating new launch configuration,critical
139462,1146465687,[misc] Reconciler and ASTProvider should log status if available,minor
139436,1146382217,Auto-complete for Javadoc @link reference,minor
139579,1146488937,"""New Scrapbook Page"" Icon Suffers Gigantism",minor
139681,1146647786,[preferences] 'This is a built in profile' info,minor
139466,1146414515,Disable All and Enable All buttons on factory path dialog have no affect,major
139903,1146628103,[junit] NPE while running JUnit4 testcases,critical
139706,1146718876,"""Link Source Folder"" dialog does not check for existing projects",major
140167,1146731521,build path: add source folder acts funnily if an existing folder name is chosen,minor
140164,1146731244,build path: edit source folder has no defined semantics,minor
140728,1147125705,Can't debug with 1.4.2 VMs,critical
140643,1147094031,[compiler] $foo() not found in anonymous type,minor
140917,1147182040,CVS compare between branch and head doesn't find differences,critical
137919,1145594729,Arbitrary dependencies are constantly dropped,critical
140423,1146835122,Receiving errors when trying to export a Java project as Jar file,major
141801,1147749554,[rulers] Clicking the line number goes to Super Implementation,minor
142023,1147775143,Failure to resolve indirectly referenced type,critical
142997,1148288103,project navigator doesn't show resource content,major
143027,1148373634,New Project Wizard behaves strangly when hierarchy does not contain any java file or only invalid ones,minor
143516,1148466881,compiler thinks certain methods are missing,blocker
144508,1149038794,[doc] Screenshots that require updating,trivial
135298,1144315103,[Externalize Strings] Error in Preview,minor
144983,1149174514,Javadoc Hover Non-functional,critical
145866,1149689866,Refactor | Rename on a Java identifier corrupts source,critical
146018,1149757392,".class files are missing from build folder after the ""clean"" -> ""build"" operation in package view.",critical
146602,1150103819,JAR creation fails,major
148419,1151063001,[clean up] convert to enhanced for loop generates incorrect code in some cases,major
148419,1152157263,[clean up] convert to enhanced for loop ignores assignment to array if field access,major
148963,1151472926,[misc] EditorUtility.openInEditor: strange code for non-primaries,minor
149088,1151510518,Organize Imports confused by 'c',minor
149050,1151543228,"[preferences] ""Tab key indents the current line"" seems to have no effect",trivial
149720,1152149902,[misc] Info views do not refresh upon source file reload,minor
152029,1154410394,[hovering] Javadoc hover and view does not display {@value}  referenced value,minor
152562,1154483980,"IJavaProject.setOption(..., null) does not work",major
152725,1154666655,[1.6][formatter] Code formatter does not format 1.5 code when source level is 1.6,major
153247,1155092151,[templates] Templates content assist additional info outdated and improvable,minor
154228,1155803280,"QuickFix  ""Change modifiers to final where possible"" inserts too many ""final""s!",minor
154534,1156146987,Endless loop in JavaContext.suggestVariableName,major
133744,1143560641,Implementation of com.sun.mirror.util.Declarations differs from Sun's apt,minor
154992,1156382798,org.eclipse.jdt.ui.JavaNoTypeCompletionProposalComputer throws a runtime exception when using content assist on,trivial
154993,1156383133,org.eclipse.jdt.ui.JavaNoTypeCompletionProposalComputer throws a runtime exception when using content assist on 'this.' in annontations,trivial
155003,1156387360,Missing exception types / wrong signature?,critical
156426,1157592141,[navigation] Sometimes braces matching not working in Eclipse,minor
142508,1147943485,Refactoring text search fails to find occurences preceeded by #,critical
156765,1157724357,Eclipse compiler fails to report errors in Generic Types that Sun JDK 1.5.0_07 reports as errors.,critical
157480,1158311272,Cleanup removes test in if(),major
157796,1158658362,[misc] 'Text Editing' navigation and selection commands block widget shortcuts of class file editor without source,minor
156437,1157554998,drag and drop displays NOT sign in package explorer,minor
158274,1158895381,Compile error in HEAD of AptConfigurationBlock,blocker
158457,1159041275,Can't refactor-move or save a file,major
158799,1159266326,No types being found when doing codeassist,major
159325,1159530153,Any idea why ClasspathEntry checks for string object reference instead of equals,major
159775,1160373712,"[msic] Javadoc View formats version tag as ""@version"", not ""Version:""",minor
159713,1159943605,Content assist broken in 3.2.1,critical
160609,1160597503,some errors about refactoring the package name,critical
161242,1161073424,[content assist] Fully qualify identical field and method proposals with missing type,minor
161846,1161431121,Expanding a java project with invalid classpath container entries in Project Explorer  causes CPU to stay at 100%,critical
162518,1161899325,Debugger behaving *very* erratically,blocker
157513,1158325380,PDE with Sample View generates ClassNotFoundException after deploying,blocker
164682,1163591977,NPE SourceLookupPanel  add external archive,major
166641,1165224631,uninitialized variable not reported in if (false) block,minor
167651,1165918167,[vms] ArrayIndexOutOfBoundsException editing a source location,major
167825,1165985987,Convert to enhanced for loop drops additional variable initialization,minor
169079,1167105278,Long Parameter Hints Should Be Wrapped,major
169222,1167343019,Junit Test Runner,critical
166512,1164970289,Run/Debug uses classes from another project although a JAR is in the project and in the class path,blocker
170318,1168586835,"unexpected nameclash when overriding method with ""wildcard"" parameter",blocker
170884,1169094885,[open type] problem with incomplete result,major
173101,1170765820,Inspector and Variables view incorrectly escapes single quotes in strings,minor
175265,1172228094,[preferences] Content assist favorites: missing mnemonics,trivial
175263,1172228886,[preferences] Content assist favorites: Wrong title of 'new type' dialog,trivial
175459,1172406712,JavaDoc attachemnt does not work for javadoc in archive,critical
175459,1172451232,JavaDoc view may display a warning message when document is missing in attached javadoc archive,minor
175534,1172482136,ScrolledPageContent leaks three colors,major
176528,1173190415,java.lang.AbstractMethodError when using pathological covariance,critical
177499,1173928222,NPE while displaying content of an array,critical
151683,1174019098,[extract superclass] Extract Superclass without 'Use the extracted class' removes code,major
177295,1174383151,BIDI3.3:<HCG:Undesired order of file names in RTL direction of eclipse.>,major
178819,1174560525,BIDI3.3:<HCG: function name in tool tip text window is not shown properly>,major
151787,1153848625,compiler allows assignment to final field in constructor other than through 'this',minor
180929,1175667991,(auto!)-sort can create sources which do not compile,major
180929,1175671824,[clean up] sort fields should warn for semantic change,minor
181652,1176126235,Cannot debug any local java,blocker
180109,1175198013,JDT Throws ClassCastException on incremental build,minor
182992,1176889190,Add/Edit JRE Dialog initial size too small on Linux,minor
183093,1176922450,unable to create a src folder if it already exists in the build path,minor
183512,1177170593,Mark Occurrences false hit on superclass/static method,trivial
183878,1177433314,Unable to open PDE editor,critical
183933,1177465533,[help][spell checking] Add help doc for the 'Spelling' preference page,trivial
185220,1178115815,IDE java 6 APT support needs a Messager,critical
185129,1178095374,NPE in LocalVariableBinding.computeUniqueKey,minor
187329,1179315477,compilation error constants created with static methods,trivial
188092,1179732986,Syntax coloring of comment is lost when replacing text,minor
188229,1179797625,[preferences] missing and conflicting mnemonics,trivial
189001,1180010652,Classes only required for javadoc references showing up as unused imports in 1.6 VM`,major
186457,1178808273,Breaking inconsistency between java.nio.Charset in java and in Eclipse,major
189294,1180407290,"[getter setter] Getter methods not generated correctly for boolean types that starts with ""is""",minor
189627,1180418278,[5.0][content assist] Content assist does not handle varargs correctly,minor
189314,1180243702,stacktracev following renaming of package name,critical
165850,1164474827,Create New Java Project fails with a NullPointerException,blocker
190437,1180671642,Major Regression: terminator in open type doesn't work anymore,major
193210,1182180902,Internal compiler error java.lang.NullPointerException,blocker
194806,1183098668,[content assist] Parameter hint popup has strange PgDn behaviour,minor
195185,1183391487,Cannot debug java class,major
191804,1181352285,Setting Compiler Compliance Level to 1.4 Problem with JDK 6,major
