id,timestamp,description,severity
126984,1139411652,PDE generating destructive build.xml for plugins that specify Bundle-ClassPath=bin,critical
129810,1141125356,eclipse.buildScript: either documentation or behavior is wrong,major
128598,1140403573,"3.2 M5 Product export to multiple platforms, missing option in export wizard",critical
130105,1141278296,Lock while synchronizing my workspace,major
137173,1145330719,Equinox-Launchconfigs cannot be debugged and started again,blocker
140609,1147083988,PDE Export generates inappropriate access restriction errors,critical
142854,1148049325,Fragments exprted as directories don't work right,critical
151262,1153389534,Cannot launch plug-in,major
155931,1157069769,"""Invalid character constant"" when exporting plugin or product",critical
156718,1157707653,Projects can no longer reference ICU4J packages,blocker
158768,1159260497,execution environment causing bundles to be not resolved,major
168683,1166602045,Not recognizing the plugin path attribute in eclipse.generateFeature task,major
170081,1168417393,Unable to launch eclipse (self-host),major
172524,1170329063,Workspace crashed message after normal shutdown,major
153515,1155242233,editor opens on the wrong page,minor
175476,1172447186,Scale slider graphic not displayed properly,major
177216,1173803001,PDE build does not package orbit bundles,blocker
178151,1174326036,Build not triggered for non-java project when they are affected by StateDelta,minor
179180,1174795095,Wrong access restirctions set in 3.3 M6 for some plug-ins,major
180396,1175441835,Editor loses text position on focus,critical
180396,1175476793,[typing] Editor loses text position on focus,major
175288,1172223817,Changing a plugin to a fragment back to a plugin makes it disappear,major
181628,1176118186,Generated config.ini should not start fragments,critical
182592,1176723435,Show the plug-in depenceny hierarchy doesn't,major
187228,1179291924,[RCP]: Available templates missing.,major
195394,1183539760,NPE in org.eclipse.pde.internal.ui.editor.plugin.ImportPackageSection,minor
195525,1183976824,[Manifest][Editors] Choice extension elements are not sorted properly in context menu,trivial
197813,1185353709,Plug-ins view does not contain 'Add to Java Search' (and 'Remove from ...') any more,major
202410,1189049617,PDE No Longer Imports Source,critical
204572,1190717338,Product build of RCP app fails to produce executable,blocker
205888,1191966988,Serious performance problems with PDE Classpath Containers,major
206440,1192507798,NPE in PluginModelManager#findModel(BundleDescription),critical
206702,1192644937,"Target Platform Preferences page gives invalid value dialog, IAE",major
213088,1197696926,Create plugin from Jar throws NPE,critical
214923,1199963071,Extensions point information from required plug-ins not available,major
216359,1201108776,Target platform is broken,critical
217054,1201662427,[import/export ] forceContextQualifier is ignored,major
220641,1204118195,Manifest editor page does not work in high contrast,major
221852,1204878312,Can't export features from a p2-enabled SDK,critical
221019,1204302495,Duplicated entries in classpath container,major
224318,1206589312,Source for org.junit (3.8.2) missing,major
224470,1206633655,[source lookup] source lookup for folders is broken,major
224647,1206699772,Can't find source code when developing for eclipse 3.4 with eclipse 3.3,critical
192842,1181884601,Sub-elements of New menu is wrong,major
199241,1186553876,buildUpdateJar target calls non-existing rootFiles*_*_* target,critical
227280,1208311621,PDEPlugin foces activation of DebugPlugin,major
223289,1205959370,[Manifest Editor] Fragment cannot resolve dependencies,critical
230146,1209936693,PDE ignores the delta pack,major
230990,1210172974,P2 Target provisioner fails to open wizard,major
233441,1211438921,Importing binary project is broken in I20080521-2000,major
233883,1211748189,Reports wrong error on correct @since 3.4 tag,major
233715,1211539615,TVT34:TCT340: SV: Dropdown menu items in Eng on Compiler panel,minor
234360,1211959950,NPE when editing help context files,critical
189051,1180024746,Export Wizard fails to use compiler source/target directives,critical
237025,1213324709,Plug-in does no load (ClassNotFoundExceptions),critical
237435,1213668362,Product export generates incomplete install,major
243136,1217904705,Tons of API tooling errors after importing binaries,major
244941,1219631947,[api tooling] No missing @since tag should be reported for a protected member in a final class,minor
246804,1220990188,Missing NLS message in org.eclipse.pde.internal.core.pderesources,major
243766,1218448002,Need to clean up api descriptions when projects are deleted,major
242002,1216897173,import cannot be resolved,critical
250599,1223854248,Exception in launching plug-ins in Eclipse 3.4,blocker
242341,1217298461,PDE import the files into an incorrect folder,major
258319,1228908426,NPE in eclipse launch configuration,major
258038,1228793936,Tons of API tooling errors after importing binaries,major
261180,1231996232,Import binary plug-ins randomly failing,critical
262324,1232897093,NPE exporting a product,blocker
268212,1236783007,Installing from remote site does not download the jars,major
269540,1237545390,assemblyTempDir not deleted after assembly,major
269225,1237372643,Regression in R35_M6 basebuilder,major
273199,1240364044,Strange API problem reporting,major
