id,timestamp,description,severity
122549,1136341993,new TreeSelection breaks clients (was: Java browsing perspective broken),blocker
123090,1136791286,"[navigation] ""Show In"" context menu misses shortcut",minor
122627,1136799437,[RCP] Coolbar only shown when MainWindow-Resized,major
123415,1136961722,Key bindings no longer working,major
123415,1136969542,[Commands] handlers: action set handlers stop working when two workbench windows open,major
123442,1136979469,[Commands] handlers: Retarget action handlers aren't registered properly,major
123296,1137137594,[JFace] Memory leak in org.eclipse.jface.window.Window,critical
123977,1137405990,[Markers] NPE in,critical
124104,1137487943,[Contributions] SubActionBars(IActionBars) was removed and needs to be resurrected,blocker
124111,1137482325,CellEditors do not allow empty strings to be displayed in table.,critical
124111,1137498498,[CellEditors] CellEditors do not allow empty strings to be displayed in table.,major
124281,1137578945,"[MarkerView] ""Marker id: 1012046 not found"" in log",minor
124606,1137748258,[Markers] Exception in Quickfix wizard hangs workbench,critical
125147,1138182231,[WorkingSets] Deadlock on startup,critical
124688,1138186518,[Help] Help search very unreliable,major
126365,1139044725,[typing] Selecting line does not include carriage return,minor
123026,1136679070,Ant source attachments incorrectly configured,minor
125521,1138364695,WorkbenchWizardElement.java 's convertToResources() method doesn't consider ResourceMapping cases,major
125250,1138201290,JNI Cannot Find Java Routines with RCP,major
127471,1139823291,"Problem View Filters are read in from preferences, but not updated",minor
127151,1139827061,[Contributions] Warnings for menus/actionSet elements in IDE's plugin.xml,trivial
126170,1138859411,"nag-screen ""multiple errors have occured""",minor
128365,1140145219,[projection] Code folding: cut and paste unfolds following folded block,minor
124246,1137540395,Properties File Editor failed to update line number,minor
128670,1140429893,[junit] Improve layout of history dialog,minor
129155,1140682179,"eclipse crashing when using ""add external archives"" to my project",major
129156,1140682718,NPE in IDESelectionConversionService.convertToResources,critical
129168,1140688944,[content assist] UI hangs in Code assist,major
129517,1140995060,Broken mouse rollover in Problems view,critical
122788,1136464750,eclipse won't start because of jvm crash,critical
129762,1141106407,"initial focus in launch dialog should be on tree, not filter coolbar",minor
129916,1141188708,Per date sorting in History view forced on me upon ever input change,major
129338,1140769665,"cvs-compare: ""first bytes differ at position 0""",major
130079,1141258940,Already announced  functionality missing in StyledText  (adding widgets with text),critical
130079,1141295822,Add snippet showing how to embedd widgets in StyledText,minor
130171,1141301492,[Markers] Unnecessary updating of Problems view,major
129731,1141095583,Transparent gif images cannot be drawn properly.,blocker
129979,1141210095,Deadlock in Open Type dialog,major
131401,1142006764,[JFace] LineNumberChangeRulerColumn throws 'widget is disposed' error,critical
131237,1142230823,[rulers] Clicking on a mark in the OverviewRuler does not reveal the selection if already selected,minor
127290,1139572149,Callisto simulation fails with odd network related errors,blocker
131906,1142401475,StackOverflowError in StyledText,major
131438,1142089845,3.2M5a crash on startup,blocker
132296,1142561142,vertical scrolling in problems and task view,minor
132550,1142847615,BIDI: Problems view is become hidden when select a problem,major
133342,1143436489,"Global keybindings don't work (Open Type, Search, ...)",critical
133211,1143215732,Impossible to import an external jar,blocker
133442,1143476788,Bug 107813 did not fix memory leak,minor
133867,1143622841,Project wizard browse button not connected to file system contributor,major
133867,1143636299,[EFS] Project wizard browse button not connected to file system contributor,major
133761,1143568205,"SWT drawString problem, leading space handling is wrong.",major
133594,1143539366,Key bindings badly broken,blocker
133111,1144143771,[Help] Create Help Index does not work,major
134992,1144210119,"""Prompt for workspace on startup"" not working",minor
127312,1139578469,eclipse depends on stack traces in throwables,trivial
127312,1144265458,[editors] eclipse depends on stack traces in throwables,critical
135121,1144286674,"[typing] problems deleting line while in ""selected element mode mode""",major
135380,1144332575,ConcurrentModificationException in DiffRegion,minor
136397,1144843070,[performance] toolbar: specifying pull-down forces plugin load,major
136913,1145105436,EditorSashContainer class cast exception,critical
136699,1144929295,Eclipse does not remember or prompt for workspace selection,major
137088,1145286595,StringIndexOutOfBoundsException in AntLaunchDelegate.appendProperty(),blocker
137410,1145384969,ViewPane does not ask the ActionBarPresentation to create the toolbar control,critical
137614,1145460936,Jobs and Dialogs Windows,critical
138336,1145945482,"System.getProperty(""MY_SYST_VAR"") returns null",critical
137541,1145445374,"[Reproduction] Creasey family disturbingly small, odd numbered and generally sore from pregnancy",blocker
138488,1145973897,[CheatSheet] User can get stuck by skipping tasks in a choice group,minor
138425,1145961221,NuberFormatExceptions in ICU code in various places in Eclipse when running in Swedish locale,critical
138423,1145961063,[ICU] Eclipse crashes when bringing up properties dialog of project in Swedish locale,critical
138423,1145991498,[ICU] Eclipse crashes when bringing up properties dialog of project in invalid locale,major
138823,1146088781,Changes to MultiPageEditorPart causing endless loop,major
124027,1137422561,RCP Crashes after canceling a dialog in Japanese locale,blocker
134285,1143799655,Eclipse 3.1.2 crashes directly on startup on Mac OS X 10.3.7,blocker
135578,1144403147,SWT application crashes on Solaris,blocker
136486,1144857750,XP x64: Run Application List Empty,blocker
139262,1146227358,'set data' callback not sent after all items are cleared in virtual tree,major
139319,1146239526,Could not run multiple workspaces simultaneously,major
139631,1146499785,help servlet.jar access changed,blocker
139673,1146558751,Improve 'Convert Line Delimiters To' for unknown content types,minor
139534,1146477818,Text items in Preferences are cut off in High contrast mode,critical
139745,1146565369,Unable to reset a saved perspective if created using dynamic extension,critical
139643,1146502456,Visual artifact left after creating a string,minor
126857,1139348954,Dynamic plugin install causes refresh and corrupt registry,critical
139962,1146645341,PlatformUI.isWorkbenchRunning() is not dependable for determining context,critical
140057,1146662698,[CommonNavigator] Please harden against IllegalAccessError,major
137621,1145464778,License Agreement Does Not Display on HP-UX,critical
137190,1145340272,32rc1 unable to startup CVS nature,blocker
138389,1145955800,Unable to start workbench,blocker
138389,1147102989,Large memory leak in launch configuration dialog,critical
140716,1147110501,"first gave error loading (viewpart), then just gave an error box",critical
140576,1147077290,Type Access Rules dialog has no icon,trivial
140576,1147148788,dialog has no icon or clipped error icon,critical
140564,1147075500,When deleting 10.000 files eclipse freezes,minor
141317,1147337881,Templates don't work when creating a new build file,major
141494,1147398130,swt browser with flash plugin,critical
142264,1147859054,"[Common Navigator] After closing all perspectives, Project Explorer will never show content",blocker
142278,1147861849,TVT3.2:TCT435: AR: Brackets mirroring in the File Menue,major
143008,1148293075,Changing Ant Home and Reloading build file results in ClasscastException,critical
141581,1147433921,x windows crashed during debug variable interogration,critical
143432,1148449329,"Repeated ""ComCtl32.dll"" load in OS.java",major
144013,1148654350,[hovering] Double right click in focused hover help brings up IE window,minor
144400,1148978472,[launching] LaunchManager keeps references on last resource delta,major
144020,1148647801,Common Navigator - viewerActionBinding does not work with Multiple Views,critical
143480,1148461657,[PDE] Eclipse fails to launch a runtime workbench in debug mode on Linux platform,blocker
144851,1149130145,MultiPageEditorPart.getAdapter has to work in any thread,major
144851,1149131770,MultiPageEditorPart.getAdapter uses code that requires UI thread,critical
144926,1149232060,[javadoc] Clarify IAnnotationPresentation Javadoc,trivial
144926,1149674959,[misc] AnnotationPainter should not indirectly call IAnnotationPresentation.getLayer() and clarify IAnnotationPresentation Javadoc,minor
143382,1148414348,Tree fails to register double-click while tool tip visible,major
145526,1149578119,CTRL+F crashes JVM in Search panel.,major
145605,1149599657,SWT error on AIX when launching RCP app,critical
137064,1145282140,"""Select Required"" button not working in updater",major
129755,1141103518,CompositeImageDescriptor: Problem on overlay with transparent areas in PNG,critical
146833,1150187269,"NPE while ""Override and Update...""",major
142623,1147962548,TVT3.2:TCT557: AR: Base Welcome: Text should be mirrored.,major
147295,1150359533,Do views support the new dynamic extension feature?,blocker
147488,1150697119,[Markers] NPE removing expanded category,major
147994,1150853166,Graphic is disposed,critical
148297,1150987081,Workbench crashes while browsing help,critical
147068,1150275882,Get a null pointer from common navigator classes when trying to add a plugin.,blocker
148358,1151029732,deadlock in ConsoleDocument.getLine,major
149033,1151489609,Invalid entry in build.properties file,major
149377,1151757641,NPE while trying to commit merged branches,critical
149639,1152068027,"time of viewer.setChildCount(element, count) is linear with count",major
149426,1151887105,[JFace] TextCellEditor has no name,critical
142958,1148271858,next is disabled on the installation page when using links folder,major
142958,1152156597,finish or next is disabled on the install wizard,critical
144823,1149107011,Eclipse hangs randomly,critical
143061,1148306415,problems in tree/list widgets with the j9vm,major
150365,1152682459,setImeInputMode() is not correct with MS-IME2000,trivial
