id,timestamp,description,severity
322084,1136141369,Crash with nsAutoScrollTimer [@ nsSelection::ConstrainFrameAndPointToAnchorSubtree],critical
322636,1136571745,[@ nsContentUtils::ContentIsDescendantOf ] ctrl-y/redo shortcut crashes firefox in find bar/fayt,critical
322764,1136722425,Can't start trunk (1.6a1) tinderbox zip builds as of 08 Jan with old or new profile,critical
322764,1136733989,Win98SE problem: Can't start trunk FFv1.6a1 or SMv1.5a tinderbox zip builds as of 08 Jan with old or new profile,blocker
322806,1136819253,ARM crash [@ XPTC_InvokeByIndex],critical
322838,1136800813,crash as I enter a really long piece of text in To: field,minor
322947,1136884895,Middle button click -> Site scrolls up,minor
322701,1136640115,When opening Options dialog second time Options window is empty,major
323617,1137446802,Crash on mouse over on a dynamically added menu item in the tabs context menu [@ nsIFrame::MarkDirtyChildren],critical
323756,1137507359,crash [@ 0x20002020 4bc981c2] [@ js_SetClassPrototype],critical
323945,1137593068,Single click on form submit causes double submit with one POST and one GET entry in web server access log both having the same time stamp.,critical
324482,1138044985,javascript is treating integers as strings. integer++ = integer.toString() + integer.toString(),critical
324500,1138063014,"Array bug, when used array[""..""] both with toSource()",minor
324746,1138218391,XPathResult object can crash brower when calling iterateNext() or snapshotItem(),minor
324915,1138326219,Printing page with marquee crashes [@ nsSubDocumentFrame::QueryInterface],critical
325262,1138622382,"When an Option tag is set as ""selected"" by a script the selected option is not displayed",major
325276,1138803536,Bottom and right side of printpreview cut off,major
325653,1138887012,crash if JS func attempts to remove the DOM element in which it (the func) is defined.,minor
325802,1138974152,HTMLElementUnknown is type of function not object as on previous build,major
325765,1138998504,Cache causes crash crossing architecture [@ nsDiskCacheRecord::HashNumber].[@ nsDiskCacheMap::FindRecord],critical
325875,1139027386,Memory leak when flash played,critical
326085,1139202619,"Firefox 1.5.0.1 (and 1.5.0) hangs when I visit URL, even in safe mode",critical
325899,1140082912,"""removed-files"" in installer package has execute permissions",trivial
327640,1140161770,"crash like behavior, sometimes finished in a page reload (other times crashes)",critical
327804,1140350179,crash when i close window at that link [@ nsDiskCacheDevice::BindEntry],critical
326838,1139661597,[BeOS]  Build broken due to fix for 313398,major
328077,1140517396,crash on attempt to drag image from a page,major
328471,1140765410,Homepage returning location is always top of page rather than where you were on homepage,major
322982,1140873347,Cairo-gtk2 doesn't render text after certain hyphens,major
328664,1140954659,Reports previous parameter as incorrect when referencing to a property of an undefined variable,major
328579,1140853119,Gaius Installer Builds fail to Install (C++ runtime error),major
329260,1141385361,Disk cache keeps emptying itself,major
326521,1139450138,crash when deleting quoted text,major
326521,1141982391,crash when deleting quoted text [@ nsTextServicesDocument::DeleteNode],critical
332453,1143882884,crash with drawImage,major
332657,1144111169,Can't cancel out the Updates window or OK out the Close Firefox alert and Close Window does not work anymore,critical
332736,1144183358,ereward.com crashes w/zoomtext installed [@ 0x05344e26] [@ nsQueryInterface::operator()],critical
330208,1142098731,"For the last few times, the nightly build install has failed with this message.",critical
324857,1138279653,MathML all screwed up in Cairo builds,major
332971,1144288331,crash with iframe removing itself [@ nsAttrAndChildArray::Clear] [@ nsAttrAndChildArray::~nsAttrAndChildArray],critical
330780,1142538329,[ATK only] global nsAppRootAccessible is not released on shutdown,trivial
333084,1144342944,"""Disabling XUL by section"" - the XUL example textbox is overlapped by right Blog link column",trivial
325456,1138775738,A a large XML causes mozilla to trap,critical
333388,1144599183,[@ nsDTDContext::Pop],critical
333837,1144891894,Crash in nsJSContext::nsJSContext() / XUL / DOM,major
333837,1144987230,Crash in [@ nsJSContext::nsJSContext] / XUL / DOM,critical
333990,1144992074,"File->Page Setup does nothing, File->Print generates error dialog ""Printer Error.  An unknown error occurred while printing.""",major
334006,1144999357,FireFox 1.5+ fails to add dynamically added INPUT elements to form elements,critical
333769,1144844319,Hang when trying to view source of a page (window-1255 encoding),minor
334142,1145089788,Firefox 1.5.0.2 Mac OS X doesn't work with some online banking systems,critical
334210,1145176346,[FIX]nsScriptSecurityManager::SecurityCompareURIs uses sourcePort unitialized if getting targetPort fails,major
332468,1143910559,FireFox Browser will crash when visited,critical
333950,1144968328,Browser crashes when visiting google video,major
334322,1145234532,"flash ads (*.swf) cause memory growth, reduced testcase shows 100MB per hour!",critical
334341,1145249845,"Using image tags with a non image file, and selected view image, file will still load up, allowing access to system resources",major
334491,1145336003,FF crash while previewing or printing if more than one page-break-,major
334538,1145454345,"Firefox crashed when I submit the given URL on Mac, can't load applet on Linux, IE and Safari work well",major
334814,1145505947,restarting X11,major
334814,1145549747,"<input value=""long string""> crashes X11",critical
334933,1145587430,Broken text rendering when scrolling after increasing text size twice,major
335134,1145751756,Error: uncaught exception: Permission denied to call method XMLHttpRequest.open,critical
335549,1146037838,UUID generator is nonrandom on x86-64,major
335697,1146123083,"Browser quits, no crash, after logging in to MySpace (among other things)",major
335849,1146219571,Yahoo Mail Beta crashes 1.8.1 branch/linux with a null principal [@ nsScriptSecurityManager::CheckSameOriginPrincipalInternal],critical
336011,1146377884,XMLhttprequest crashes FF 1.5.0.2 CZ on parsing big result,major
