id,timestamp,description,severity
322096,1136136156,Certain preferences lost after Firefox is restarted.,critical
322197,1136259987,no access to the web,critical
322302,1136317851,"When tabbing through forms, drop down boxes and check boxes are skipped over",major
322431,1136398936,"When entering text in fields, drop down menues cause Firefox to crash",critical
322431,1136399260,"When entering text in fields, drop down menus cause Firefox to hang",major
322880,1136826360,Firefox 1.5 lack of connectivity,critical
323832,1137513872,Firefox doesn't connect to internet and doesn't exit after closing,critical
323209,1137065166,"(bio page) ebeded mp3 sound when refreshed, or revisited, does play correctly",major
323939,1137618759,crash performing leaktest [@ nsContentUtils::GetDocShellFromCaller],critical
324275,1137845555,Location bar gotos incorrect URL when selected with tablet PC pen.,major
324264,1137841410,"Segmentation fault after Gdk-WARNING **: gdkdrawable-x11.c:787 drawable is not a pixmap or window.",major
324135,1137736320,Application Error When Printing from Firefox Window,major
324449,1138021496,Error: uncaught exception: 2147500037,critical
324449,1138026881,error when moving a tab before it's parent and then closing it (Error: uncaught exception: 2147500037),major
324900,1138308024,Change in Gnome theme defaces GUI,trivial
325216,1138590821,Bookmark Toolbar Menu Folder Dropdown Hangs Indefinately when selected,critical
325216,1138653167,Bookmark Toolbar menu folder dropdown hangs indefinitely when selected,major
325385,1138715799,renders app inoperable,critical
325626,1138876353,Firefox closes with an error when you try to display a stock chart at IBD,major
325626,1138898578,Firefox crashes when you try to display a stock chart at IBD,critical
325763,1139325183,Support empty user titles (differentiatable from unset),minor
326106,1139217706,Crash upon clicking or entering .asp url,critical
326984,1139785498,crash if I try to view Live Scorecard in cricinfo.com,critical
326984,1139787026,hang if I try to view Live Scorecard in cricinfo.com,major
327274,1139980575,Live bookmark titles are page title when page has multiple feeds,minor
327369,1140045729,Updating to OS X 10.4.5 caused loss of firefox and thunderbird profile,critical
327480,1140074355,firepavan,critical
327595,1140124974,Could not initialize the browser's security component,critical
323857,1137544489,Scrolling to the bottom and/or to the right does not scroll also the contained image,major
328016,1140482917,after upgrade to latest version firefox network connections are no longer availlable,critical
328091,1140521846,Firefox crashes after having downloaded and rendered 12 MB,minor
328119,1140532967,"FFx 1.5.* Cannot ""apply""/""Display"" ""installed"" Theme of XP Home Users who Are using ""high resolution"" in Windows.",major
328634,1140948919,Disable Freetype2 by default,minor
329203,1141334194,[BeOS] Places toolbar does not show bookmarks,major
329634,1141718988,No apparent way to Reload Live Bookmark,blocker
329791,1141805340,the  start up page with google search  crashes rendering all search  impossible,critical
329738,1141775327,Automatic Places import adds titles to title-less toolbar bookmarks,major
330416,1142272553,please raise priority of all keyboard focus bugs,critical
330303,1142195256,"If windows crashes, Mozilla Firefox resets toolbars and history",critical
330406,1142266285,memory cache largely exceeds value set in browser.cache.memory.capacity,critical
330472,1142377400,no bookmarks in toolbar due to SQLITE_CORRUPT,major
330916,1142643763,places > subscriptions lock browser,major
331253,1142947797,Crash when try to open the site tiddlywiki.de,major
331414,1143050638,Accelerate keys conflict in bookmark organizer window.,major
331700,1143269272,autocomplete in urlbar or html forms grabs keyboard input and won't release it,major
332103,1143606056,"FIREFOX 1.5.0.1 HANGS WHEN I ATTEMT TO OPEN A PDF FILE, CLICKING ON A LINK.",critical
331540,1143139152,Mozilla Firefox,major
331540,1143739403,Firefox crashes on startup,critical
331606,1143874365,crash at msnbc.com,critical
332448,1143879091,nsSearchService fails to set POST data for searches,minor
332019,1143542010,Moving profile folder causes toolbar icon display to fail,major
332271,1143719068,One cause of wrong tab closure identified in tab closure handling,major
332271,1143974758,One cause of wrong tab closure identified in tab closure handling (Ctrl+F4 bubbles although being handled),minor
332519,1143972649,Won't login to any site,critical
332671,1144116801,AdBlock memory/cpu usage leak,critical
332765,1144177836,Firefox crashes after disconnecting from dialup connection,blocker
332660,1144205249,GTK file picker as used in Firefox is not accessibile for GOK (Mozilla strips atk-bridge from GTK_MODULES),major
330578,1144303597,(Shift+) delete in URL bar autocomplete list no longer persistent.,major
328474,1144612039,Plugin performed an illegal operation (Shockwave Flash),critical
332888,1144240163,JS warning: variable folderId hides argument in controller.js:1760,minor
326044,1139176381,Firefox.exe Application error,major
326044,1145193811,crash reloading a page,critical
334149,1145092682,Big JPG cresh Firefox,critical
334241,1145169184,Firefox crashes using Back page arrow,major
334241,1145201178,crash going back,critical
333514,1144683360,Tab focus ring should encircle the tab label rather than the entire tab,minor
334447,1145319716,Close button in preferences setting dialog is not visible,major
334469,1145322253,Crash when deleting histroy.,major
334482,1145332805,problem when other software tries to close multiple tabs,minor
334669,1145431985,bookmark separators have an icon overlaid over it,minor
335037,1145649352,[word wrapping\white-spaces\tables],critical
335160,1145788843,AFTER THE LATEST UPGRADE/REVISION A MAJOR PROBLEM USING FIREFOX WITH YAHOO EMAIL!,major
335426,1145965534,yahoo-pswrd.will not be accepted while in mozilla broswer@homeButWill@ library?,major
335368,1145937795,Browser crashes when typing in this URL,critical
335368,1145965854,Browser hangs when going to itrs.gov,major
335662,1146097971,Crash when handling several quicktime movies,major
336085,1146444534,Search (search bar) opens in first tab when multiple empty tabs are open,major
335213,1145833946,My FireFox Browser Installer Installed as 6GBs in My computer,critical
336683,1146764674,Firefox not loading,critical
323966,1137605687,Google searchbar history will not clear,major
336864,1146875576,copy to clipboard does not work anymore,critical
336980,1146966115,crash when watching other myspace profiles while i'm logged in,major
337265,1147133895,crashed after a few minutes of playing games on yahoo games,major
337292,1147153707,"Since searchbox oval is a single hard-coded image, it breaks with the new searchbar flex behavior",minor
336281,1147208019,Exporting bookmarks from Places doesn't escape quotes / <>& properly -> mangled bookmarklets and data: bookmarks,major
336728,1146799395,crash moving cursor over the local bookmarks,critical
336728,1147216694,hang moving cursor over the local bookmarks,major
337415,1147232126,right click menu stays open after clicking link in bookmarks,minor
337529,1147283505,"firefox does not support <alt> tags, usually inside an image tag.",major
337695,1147404847,Drop down selected URL with slash overwrites manually typed URL,minor
338043,1147691459,Search button does not look/behave like a button in Windows Classic,trivial
338465,1147948730,Windows Crash with Firefox,critical
338465,1147969535,Firefox hangs when using Yahoo Games (Java),major
335512,1146025416,Import Bookmarks from file is broken,major
338864,1148293521,ctrl+enter doesn't work if the url starts with www,major
339155,1148475323,software reinstall does not fix the following,critical
338501,1147976457,"Creating new folder from bookmark dialog causes blank, undismissable modal sheet",major
339524,1148840433,Frequent Firefox crashdowns upon visiting this site and its different pages,critical
339840,1149066622,FireFox don't show images.,critical
339840,1149073173,Firefox doesn't show images,major
339812,1149102256,When trying to log in Firefox reports an error and crashes,critical
340221,1149300431,After updating firefox my user preferences broke.,critical
340221,1149302567,Firefox toolbars settings and bookmarks lost on restart (update or otherwise),major
340401,1149487776,Context Menu scroll-bug,major
339861,1149077749,crash [@ ntdll.dll],critical
340527,1149574963,The page isn't redirecting properly,critical
340933,1149798991,"Menu>History URL's should be global, same as Go was",major
340343,1149424632,evertime i click an advertisment in aol instant messenger an unusual effect happens,critical
340970,1149832350,Web pages with flash cause Firefox to crash since upgrading to 1.5.0.4,critical
340970,1150069819,Web pages with flash cause Firefox to behave too poorly for user tolerance since upgrading to 1.5.0.4,major
340854,1149757039,SSL Connection login on e-messenger.net crashes Firefox,minor
340249,1149323008,Tools -> Options -> Content -> Colors - Dialog box is not wide enough to display everything.,trivial
338457,1147944609,Searchbar accessible name is not descriptive enough,minor
342729,1151286362,Crash on restart after installing venkman,major
342729,1151287460,Crash [@ TableUpdateListener::OnStopRequest] on restart after installing extensions,blocker
342820,1151351428,crash when reloading page after upload,major
342469,1150982618,cvs remove places l10n files from MOZILLA_1_8_BRANCH,critical
343152,1151571427,iframe onLoad method not invoked when receiving pdf file as stream,major
