id,timestamp,description,severity
322221,1136276463,"After updated to the 20060102 trunk build, it crashed whenever I tried to start Thunderbird.",critical
322346,1136352338,can not start thunderbird 1.0.2-6(200505)on fedora core 4(stenz),major
322472,1136436924,"When Messages are sorted by DATE, Last Week contains messages all messages received before yesterday",major
322472,1136448725,"When Messages are grouped by DATE, Last Week contains messages all messages received before yesterday",trivial
323305,1137133461,TB crashes without reason.,minor
323305,1137135362,Thunderbird crashes without reason,critical
323364,1137169198,Address autocomplete fails to give nickname matches preference,major
323364,1137224762,Address autocomplete fails to list matches-on-nickname when matches-on-name are available,minor
323476,1137259156,Fresh install to import mail from Mozilla - always crashes.,major
324302,1137871042,System Freeze when new email comes in,critical
325908,1139051275,message pane downloads external linked .css urls even though images aren't downloaded.,major
326631,1139527535,Imaginary mail numbers in each box + imaginary download of new mail numbers,critical
326569,1139477948,while reading/sending mail occassional bur frequent crashes,major
326569,1139562934,while reading/sending mail occasional but frequent crashes,critical
327503,1140085066,"Version 1.0.2 (20050317) crashes when opening mail with many (and large) attachments, switching off the whole notebook",critical
328015,1140482660,Tooltip with the list of new letters in the folder incorrectly,trivial
330501,1142603474,excessive cpu if less than one resolved x@y address in message compose,major
327600,1140130746,"Searching for sender in ""sent mail"" folder actually searches for recipient",minor
331712,1143283944,Page background settings are highly unreliable (don't apply as intended),critical
331711,1143283024,Re-opening a draft for editing messes up the e-mail formatting,critical
332015,1143538781,Password Manager does not prompt for new password when POP server password changes.,minor
330134,1142029197,Import of Japanese emails from outlook does not work correct.,major
330258,1142158243,Totally empty mail window when opening email,major
333561,1144711406,"Missing FW,Fwd,forwarded body part of an e-mail (just header is there)",critical
333606,1144747139,"can not Send email to msn, yahoo, hotmail, sympatico emails",major
334878,1145544162,"""Attach"" file browser has no pathname prompt, or onscreen indication of how to access one",major
334854,1145530443,downloading a hotmail with stranger characters in subjet displays negative vibes,major
335009,1145625825,creation of libxulapp_s.a fails with missing object file,minor
326539,1139463868,Thunderbird 1.5 (20051201) can`t print selected text of e-mail message area,minor
331138,1142859938,Spurious Account Created,minor
336367,1146597435,Thunderbird Crashes Upon Start,critical
336700,1146776518,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9a1) Gecko/20060504 Thunderbird/3.0a1 ID:2006050409,critical
334488,1147432842,full name from system should be no be assumed to be iso-8859-1,minor
337835,1147497235,Inbox--multiple problems,major
338109,1147736205,crashed when switch to the IME winabc v4.0,critical
338090,1147710598,Error occurs when connecting to pop3 enhanced server pophm.sympatico.ca,major
331322,1142991728,"Wrong Message Icon when 'Reply' clicked, and recip changed",trivial
338285,1147835601,Parsing error in mailWindow1.css,critical
338290,1147839418,Thunderbird timed out when trying to download mail from mail.yahoo.com on all tries,critical
338658,1148113036,Mail composition : address autocompletion broken,critical
339139,1148467421,Failed to load XPCOM component,major
339161,1148478902,"when I click on the ""Junk"" folder in Thunderbird, program crashes.",critical
339161,1148494340,"when I click on the ""Junk"" folder in Thunderbird, program hangs",major
339559,1148861431,"TB freezes when selected ""Show: not read"" in threaded mode",major
339887,1149089067,Message contents don't change to plain text on Options > Format > Plain Text Only,major
339887,1149137651,"Options > Format menu is unclear: should be ""Send format"" or similar",trivial
340647,1149639262,T-Bird does not exit properly,major
340662,1149653411,Thunderbird doesn't open attachments with the proper program,critical
326368,1139346909,"Gets stuck in 100% CPU loop, must kill process",major
341369,1150432976,Label/Tag colors are not working,major
341042,1149878863,Messages that are forwarded as attachments end up blank / empty,major
325986,1151447116,glibc detected free error causes Thunberbird hang [ @ nsMsgDatabase::HeaderEnumerator],critical
343467,1151905212,Custom new mail sound playback overwrites adress book,critical
343606,1152051824,my first bug_ chinna,critical
344133,1152657357,"First launch presents migration dialog with only ""Don't import anything"" choice",minor
345485,1153469314,2006-07-21 1.8 branch build: Menu doesn't work,major
346765,1154361656,100% CPU hang in Thunderbird,major
346781,1154368374,"Cannot send outgoing mail, i receive a message stating the domain is blacklisted",major
346355,1154590637,Crash when restarting Thunderbird [@ libc.so.6] [@ PL_DHashAllocTable],critical
346696,1154334041,Using customise toolbar function disables menus,major
328586,1154706776,"""Save Image As..."" context menu item replaced by ""Save Image""",minor
347681,1154887386,"Forwarding or pasting a long email (1,500 line log) freezes TB in Composer Window",critical
348411,1155326214,IMAP mail folder subscription does not work.,major
348411,1155418152,IMAP subscribe dialog is modal,minor
348411,1207828339,IMAP mail folder subscription does not work,major
348534,1155479581,Thunderbird crashes before finished importing mail from Eudora 7.0.1.0 light mode [@ ntdll.dll + 0x11430] [@ JS_ArenaAllocate],critical
348714,1155607519,Crash after extension disabling,major
331009,1142725959,The Main Mail page does not show three panes-Local Folders are not visible,critical
351057,1157102693,Reply not working in build 20060901,major
351057,1157107256,Reply not working in build 20060901 (Editor Instance is DOA),blocker
350536,1157286118,Crash loading a saved search after dismissing the folder properties dialog [@ nsMsgXFVirtualFolderDBView::RemovePendingDBListeners],critical
339566,1157367262,"Text repositioned (scrolls), when caret moved via arrows over ""misspelled"" word",minor
351517,1157564562,"Ctrl-W on a loading Thunderbird window crashes, closing all open windows",critical
351989,1157822083,Crashes when scrolling in message preview pane,critical
350175,1156484115,Bad ENVID parameter syntax when sending mail to certain servers,major
347542,1158507388,"Sort-order in ""Move to"" or ""Copy to"" different under Windows/Linux f",trivial
350478,1156752783,display of the message listing corrupt,major
353318,1158637141,Thunderbird 1.5.0.7 continually prompted to install 1.5.0.7 update (when already installed),major
354938,1159668306,New Mail Sound Browse doesn't remember last used path,minor
354132,1159157767,Crash when applying Thunerbird to be default newsreader,critical
356030,1160373280,crash on startup,blocker
356030,1160417561,Random Thunderbird crashes at startup,critical
351502,1157478872,IMAP hang after deleting many messages with another client,critical
356429,1160635756,Dragging and dropping email copys instead of move.,major
356445,1160642672,I cann't send emails,critical
356445,1160663203,I can't send emails,major
356985,1161114847,Thunderbird randomly will crash [@ JS_strtod],critical
357168,1161167084,Thunderbird 1.5.0.7 crashes after starting in libmail NSGetModule,major
343304,1151696312,drag & drop contacts to lists,major
358662,1162133304,Red diamond box when copying or cutting & pasting screenshots from windows clipboard or images from paint.,critical
358421,1161947777,100% CPU When reading and displaying long messages,critical
358421,1162313107,"100% CPU When reading and displaying long text messages, several minutes to reply",major
359707,1162808111,"no body text, no attachments",critical
359998,1162986184,Forced Update (auto-update) this morning resulted in no email access whatsoever.,critical
359885,1163176470,Runtime Error R6034 installing Thunderbird starting 20061106 build,major
360409,1163263000,Mail received from Chilkat and JMail X-Mailers is lost or disappears,critical
360409,1163412332,mails with messed up references seem to disappear,blocker
360887,1163638805,"SMTP hangs on send, after upgrade to 1.5.0.8.",critical
337881,1163775417,"After spell check completed, a window came up advising of illegal operation",critical
361374,1164073202,threads sometimes vanish (disappear) from news accounts,major
361374,1191898610,"Ignore Thread is dangerous, unread messages in ignored threads should not be counted in newsgroup's message count",minor
361603,1164215550,Message Menu's Move/Copy/Label disabled/greyed out when 'group' header first item of selection,minor
361905,1164549066,conection to smtp server fails,major
362602,1165063893,Documentation incorrectly references windows menu locations and is unclear on where to set plain text format as default.,minor
324686,1165847580,Search Messages window: splitter not easily visible when results pane collapsed,minor
363775,1166023428,'News&Blog' and 'Unix mailpool' options are missing,major
363831,1166082691,[IMAP] Loading of a message from a virtual folder is restarted infinitly with high cpu load,critical
364206,1166402356,"Multiple modifier keys are broken, e.g. Reply All key (Ctrl-Shift-R) acts like Reply",blocker
364815,1166863797,JS Errors closing/opening compose window after opening Contacts Sidebar,minor
363568,1165891975,"Clicking new mail before notification box, causes thunderbird to zombie",major
366447,1194197278,Incomplete favorite folders list on startup for imap subfolders,minor
367514,1169196858,Pop 3 failure / timeout on working port 110,critical
367434,1169134786,Many labels do not have the LABEL_FOR relation set,critical
367470,1169166133,Crash randomly,critical
367470,1169535176,thunderbird hangs after resume,minor
368104,1169642548,information for importing certificates is wrong,critical
368303,1169784864,Thunderbird 2.0 forgets Junk Settings in Profile Manager,major
368509,1169991600,Previous/Next and Back/Forward buttons in Customize Window,major
343960,1171032170,"Undeletable message - delete, read, or click immediately shuts down Thunderbird",critical
333220,1171035409,delete text in message reply under certain circumstances causes crash,critical
372261,1172735007,blank Message list and message pane after update,critical
372253,1172738450,"3-Pane tab order unintuitive, with phantom tab stop",minor
372421,1172836463,"Auto-update fails, re-install fails",critical
374195,1174034080,"Attach file by drag-n-drop: does not mark compose window ""dirty"", no prompt to save draft",minor
374445,1174276527,Drag 'n' drop contact to mail composer,trivial
374445,1174288837,"When dragging contact to compose window, shouldn't display the attachment bucket to",minor
375678,1175058781,crash if I close the mail window while checking for new POP mail,major
368914,1170255765,remove unnecessary strings in contentAreaCommands.dtd,trivial
376582,1175724407,Unable to save attachment of attachment.,major
377277,1176351519,Own Theme Installation,critical
377350,1176401356,TB crashes when trying to compose an email without an account.,minor
377662,1176716538,Message compose window does not open,major
346651,1154310450,"thunderbird will not uninstall, locks up add or remove programs and hangs",critical
378565,1177375479,Mail copy between different imap accounts kills all network connections to the target domain,critical
378898,1177571973,Options dialog information cropped,major
377998,1176939743,wrong address when reply,major
376259,1175501579,crash when importing large Eudora mail folder,major
379868,1178419472,Fail to download POP3 Messages from Server,critical
335138,1145754955,Error Message Loops Without Exit,major
381009,1179362871,"[Thunderbird-trunk] Crash when clicking on ""write new message"" icon toolbar",critical
381867,1179986263,Infinite loop when copying/moving messages to IMAP folder,major
382605,1180590754,New update caused Thunderbird not to start,critical
382442,1180497203,Save on Send to IMAP folder using non-default identity fails,critical
383346,1181040215,Broken drop-down menu in Tools/,major
383738,1181283730,Junk / Not Junk toolbar button is not deactivated during toolbar customization,critical
380897,1179302954,FOUND SOLUTION: Problem Thunderbird hanging on large e-mails,critical
386261,1183040115,Lighting 0.5 and BirdieSync 1.5.4.3 Crash Thunderbird on Startup,critical
386855,1183531801,attachment file name stripped of consecutive spaces,major
387111,1183700584,Crash on startup with existing Profile,critical
347547,1154763954,"Trash folder (With squirrel mail, it seems to confuse Thunderbird)",critical
389039,1184946939,"Thunderbird ""quits"" when viewing newsgroups with binary content",major
389265,1185178463,MAILTO Protocol Association doesn't show up,major
389457,1185279553,Thunderbird hang on New Mail Notification with Tango Theme,major
389457,1185348814,Thunderbird crashes on New Mail Notification with Tango Theme,critical
389975,1185621669,Thunderbird 2.0.0.6 rc1 candidates have the wrong ProductID,critical
326584,1186466218,"Message Aging: improve UI, rewording needed for ""Don't Delete any messages"" checkbox",minor
392457,1187248753,Outlook datafile can not be found,critical
378973,1187510589,Tags stored incorrectly when message moved from remote imap/pop to local folder,critical
370920,1171878836,Single Right Click in Right Bottom Corner of Preview Pane Deletes Message,minor
392830,1187540450,Moving messages no longer deletes from server!!,major
364021,1166210424,Thunderbird always starts in minimized windows,major
392753,1187460942,Info bar at bottom is blank if the start page is loaded,major
371142,1172046476,Other messages show up in reply,critical
374814,1174477106,Unread messages moved to folders by filters don't always cause the folder to be highlighted or found by the Go -> Next -> Unread Message command.,critical
379708,1178252263,'Delete Mail Marked as Junk in Folder' always disabled and other bugs,major
393341,1187805065,program will not open,critical
393341,1188198383,program will not open - Thunderbird does not start after update to 2.0.0.6,major
324085,1137697167,Compact folders shows no progress or completion messages in the statusbar,trivial
378731,1188901590,Key Accelerator for Grouped By Sort Group under View -> Sort By conflicts with Tags,minor
392628,1187344757,View only labeled message options no longer available,major
378426,1189330101,when dragging an email from the inbox to a folder the folder column does not scroll,major
395382,1189146094,Links in thunderbird don't open in a NEW window.,critical
385555,1182541106,"Popup saying new message, but nothing new in inbox",critical
335044,1145652640,Close shortcut doesn't work on About window,minor
335044,1190389858,"Close shortcut doesn't work on About window and other modal windows - cmd-w, ctrl+w",trivial
397781,1190883361,"tab icons overlap such that close buttons on tabs are ""hidden"" underneath",major
400233,1192640018,Cursor (caret) moves to beginning of line when using up/down-arrow keys to navigate,major
392637,1187348067,"Incoming unread (new) messages which are filtered to add tags or stars cause ""new messages"" indicators to deceptively persist",major
345461,1153457523,Mail does not stay deleted,critical
384686,1193009466,"Count / Number of unread message is wrong when a rule ""delete and mark as unread"" exists",minor
392564,1187318124,after upgrade to 2.0.0.6 (20070728) IMAP folders contents are not visible,critical
401120,1193303164,new mail indicator icon shows even after new mail has been read,major
401231,1193372422,Windows / Linux interoperability fails,critical
401879,1193806142,Offline INBOX contents deleted when IMAP server times out,critical
367139,1168932501,Mail doesn't allow deletion of messages after running for a while.,critical
402480,1194940074,IMAP folder scrolls to top while auto refreshing from folder switch,trivial
377093,1196142439,"Messages opened from search window are blank, if the mail is excluded in thread pane(mail list pane) by View/Thread setting standalone message pane is empty - error console ""Exception... nsIMsgDBView.loadMessageByViewIndex ... line 1157""",major
347147,1196441382,retain a folders' filter spec in quick search until cleared - persist when changing folders/accounts,minor
362539,1164978432,Filters rules disappears when restarting,minor
377301,1176364521,New mail notification window displays details on old emails,major
408626,1197824799,Quoted text originating from MS Outlook often shows up with negative leading (line spacing),major
384417,1181792337,"Delete button disabled in IMAP folders, enabled in Local Folders",major
402097,1193915511,"TB lags for a long time for retrieving, deleting, and moving messages for Yahoo POP3",critical
398524,1198045343,adress book no longer working after 5 adresses search . I must close and re-initiate Thunderbird and crash [@ PL_strcmp],critical
375521,1198057802,Expand/collapse twisty button for addressee list in envelope remains visible when moving between messages,minor
376360,1175583467,Thunderbird does not download messages,critical
392891,1199191526,Crash at startup [@ ntdll.dll],critical
378340,1177190853,SpamAssasin typo in mailnews.js,minor
378340,1200644569,"SpamAssasin typo in mailnews.js - causes ""trust spamassassin"" not to work",major
383438,1181087218,File MsgFilterRules.dat gets corrupted after closing thunderbird,major
383438,1201181699,File MsgFilterRules.dat on a network-drive gets corrupted after closing thunderbird,critical
414100,1201297273,"creating new email account with same POP server does not appear, access to other accounts inbox/sent contents lost",critical
415092,1201765821,Message disappearing from inbox,major
354463,1159319324,Activation of junk controls does not create junk folder,critical
371027,1171959732,Moving an open mail to another folder causes a crash,critical
335380,1203253242,"UI hang / high cpu with large attachment and ""display attachments inline"" - status bar ""loading message""",critical
394098,1188315320,Compacting local folder causes tag loss,major
418203,1203297176,Signature with image in it causes hang,major
418203,1224389724,Signature with image in it causes hang in compose,major
418372,1203383442,Keyboard navigation broken,critical
420074,1204171499,pressing down key deletes open message (Down Arrow on keyboard). URGENT!!,critical
422854,1205434810,Can not communicate with mailserver after update!,critical
417731,1203058995,memory leak,major
417731,1206524014,High memory usage after a few hours going to version 2.x,major
373348,1173428661,Help in Address Book top menu is named differently,trivial
335469,1145988342,"In <aboutDialog.xul>, ""Warning: assignment to undeclared variable gSelectedPage""",trivial
428751,1208026793,deadlock dragging news article to imap account that isn't logged in,critical
414462,1201529889,"if a modal dialog shows up in the mid of a drag & drop operation, the program freezes",critical
407653,1197244076,Product hangs idefinately when drag/drop from Junk and messagebox appears,critical
431573,1209547954,Turning off toolbar makes Thunderbird use 100% CPU continuously,major
382815,1180680570,More annoying UI race issues,critical
432144,1209900679,No up-down-arrows in all windows of Thunderbird 3.0a1pre,trivial
370118,1171223133,"Thunderbird refuses to start: ""Cannot find mozilla runtime directory. Exiting.""",critical
399011,1191824401,Sharing Directory among multiple email accounts,major
370914,1171876625,Thunderbird marks new _read_ mails as unread,trivial
369970,1171088091,smtp dies if incoming POP or IMAP server goes down,critical
439259,1213444099,Thunderbird freezes after retrieving mail,critical
427371,1207453796,composing mail to newsgroup freezes TB 20080405,major
427371,1213583000,composing mail to newsgroup freezes TB 20080405 2.0.0.15pre,critical
439897,1213749806,frozen after popping up for displaying alert account over quota,major
360800,1163580453,Confirm dialog for notification is not descriptive enough,minor
437111,1213849681,fichero XXL en el thunderbird (XXL inbox file ),minor
433107,1210342338,"Drop down arrow for ""To/CC/BCC/.."" too close to the edge",trivial
431040,1209272783,Loosing mail,critical
437755,1212799650,Can't access to ThunderBird front end,critical
437755,1215236971,Can't access to ThunderBird front end dual screen ATI Catalyst,major
432799,1215251794,copy/move to ... again should honor renamed folder (move to last folder again),minor
384590,1181885829,Drag and drop big attachment from mails to desktop works only if left mouse button is hold down for a long time.,minor
412245,1200269948,"Italian Date format problem, Year component",major
345174,1153274323,Thunderbird breaks Exchange when installed on server,critical
328872,1141121285,[dataloss] drag-drop move of 100s of messages to new folder causes incorrect count,critical
445066,1215961572,Thunderbird deletes e-mail instead of copying it to Gmail IMAP,critical
396302,1216180072,"retention policy ""delete message more than N days old"" will spontaneously reset on some folders to ""don't delete any messages""",major
448455,1217341984,Excessively complex FETCH attribute list Error,blocker
449988,1218297344,When I tried to run Thunderbird I got could not connect to server mail.bellsouth.net; the connection was refused,critical
350314,1156582139,STARTTLS is called TLS in user preferences,trivial
363558,1219130408,Compose in HTML adds unexpected newlines at end of message,minor
451891,1219499034,write message is broken,major
379039,1177658953,Some random messages not showing in Inbox IMAP folder.,major
441666,1214311960,Filter dialog fails to list newsgroups,blocker
448971,1219945639,Select all for addresses in mail window does not work,minor
452823,1219998449,TB (Shredder) crashes when opening a second message window,major
452823,1220004212,TB (Shredder) crashes when opening a second message window [@ nsTreeSelection::GetSingle(int*)],critical
453956,1220661903,free(): invalid next size (fast),major
454848,1221127509,Forwarding e-mail no longer works in nightlies,major
454549,1221005704,"Unable to change SSL state, or server settings.",major
456419,1222077786,"Opening mails in a new tab -> tab is EMPTY !!!  (when ""message pane"" view disabled)",major
