id,timestamp,description,severity
322807,1136765774,"Spelling mistake in docs, section ""Searching for Bugs""",trivial
322462,1136433443,"LDAP Authentication: if LDAPbinddn is defined, re-bind as that user before searching",minor
323721,1137449482,New charts feature crashes,major
325079,1138459549,The login form on the Bugzilla home page may redirect your login and password to another site,major
325579,1138858963,"changing a bug generates multiple ""Bug Processed""",major
326142,1139232477,usemenuforusers appears not to work due to admin or usevisibilitygroup settings,minor
328063,1140526484,[PostgreSQL] Upgrading to 2.23 on PostgreSQL generates an error,critical
328166,1140563784,editusers.cgi does not work because it has a Byte Order Mark at the beginning,critical
328385,1140710509,"dependency tree images missing from #251656 """,minor
328615,1140892115,"DBD::mysql::st execute failed: Duplicate entry '135075-25155' for key 1 [for Statement ""INSERT INTO watch (watched, watcher)",blocker
328615,1140923437,Watching the same user twice produces a SQL error,major
328801,1141089799,"Bug Already Marked Duplicate Error should linkify ""This bug"" and any other bug numbers",minor
330310,1142241875,[PostgreSQL] Perl crashes during checksetup.pl on Windows ActiveState Perl 5.8.7,major
330599,1142417067,checksetup.pl - mysql 5.1.7 incompatibility when creating schema - TYPE=MYISAM,major
330599,1142435092,"[MySQL 5.1] MySQL does not support ""TYPE"" as part of CREATE TABLE",minor
329630,1141718198,Release Notes for 2.23.1,blocker
322122,1136186532,"Crash if I close/query a bug, Bugzilla has suffered an internal error",critical
325788,1138966255,Getting an odd datbase error on the main bage,critical
327262,1139964226,Taking Backup of the Database creates an SQL script which is incorrect.,critical
323294,1137125043,Search result showing inproper date.,major
324098,1137709420,error at global.pl ---Tainted error,major
324398,1137982493,Could not submit new bugs,major
324788,1138248929,query returns bugs of all products even for restricted users,major
327904,1140402144,"Internal error in Config.pm, line 151",major
328371,1140703024,User E-mail notification of new user account verification broken.,major
328709,1141008001,Unable to Create Reports / Charts,major
331076,1142813312,rdfgvaerdfgv,major
333870,1144911886,missing links in sidebar.cgi,trivial
331365,1143019751,Sendmail complains about a possible attack because there's a newline in the email address,minor
335354,1145926379,'Template->process() failed twice' when make languages param multiple to 1,minor
331688,1143254871,Dependency graph is showing web dot error.,major
333581,1144732716,Provide editbugs as default timetrackinggroup value,minor
337681,1147395993,"When trying to impersonate someone, the UI displays the password field when using the ENV method (with user_info_class=""Env,CGI"")",major
337777,1147441995,Typo at bottom; 'myslqd' should be 'mysqld',minor
337995,1147670323,having the probelem with rajesh,major
